colocating with mcf
gmm
2379235757	3124989754	0.761358	8.945060
0.006937	2379049087	430375205705	0.852365	34.123859
0.006807	2378385596	433280983013	0.818502	35.560818
0.006726	2377469184	436125565532	0.835788	34.684238
0.006477	2376921157	438762954118	0.901240	32.613060
0.006533	2376485688	441588966027	0.840933	34.653271
0.006841	2376687527	444446290265	0.831788	34.958267
0.006998	2378689249	447327834785	0.825491	35.196751
0.006583	2379512280	450179150081	0.834531	35.099216
0.007047	2378832135	453093138651	0.816349	35.495556
0.006752	2378473705	455971680233	0.826277	35.382164
0.007011	2376448811	458802076112	0.839617	34.566490
0.006796	2376080926	461700200246	0.819869	35.508766
0.006786	2376599803	464547002506	0.834831	34.885098
0.007008	2376674072	467193399116	0.898079	32.816574
0.006433	2376391902	470059170699	0.829233	34.978954
0.006819	2376400746	472967025443	0.817235	35.573391
0.006718	2375998029	475839912972	0.827042	35.208927
0.006976	2376013592	478760551023	0.813526	35.553829
0.006576	2376319477	481573311294	0.844835	34.641556
0.006988	2376311965	484436962737	0.829819	34.974945
0.006860	2378828006	487328096716	0.822801	35.334084
0.006600	2378551287	490185657347	0.832371	35.126793
0.006959	2378499941	493069888957	0.824656	35.183254
0.006756	2379172203	495684649232	0.909901	32.383545
0.006632	2299546494	498556746138	0.801395	35.323715
0.007012	2313655930	501467806424	0.794781	35.475529
0.006757	2327121418	504358980264	0.804905	35.509136
0.006839	2322531712	507261473140	0.800185	35.426819
0.006909	2312760275	510174021286	0.794068	35.671967
0.006768	2353470373	513061992589	0.814922	35.418049
0.006995	2378804944	515980196832	0.815161	35.552128
0.006637	2378622989	518854061691	0.827674	35.332024
0.007043	2378736623	521762528421	0.817866	35.447124
0.006773	2272434781	524404235517	0.861952	32.693600
0.006590	2316125491	527307953938	0.797641	35.550976
0.006770	2310445371	530171038276	0.806978	35.116837
0.007025	2307973752	533063670812	0.797880	35.256569
0.006656	2329367991	535907217828	0.819177	34.992680
0.006911	2377897331	538571323097	0.892569	32.778885
0.006294	2378512582	541423216624	0.834012	35.084881
0.007086	2376518241	544326245485	0.818634	35.395073
0.006784	2378986561	547216737829	0.823038	35.425228
0.006811	2378638468	550097731999	0.825631	35.276623
0.007070	2379175588	553007120911	0.817758	35.530151
0.006666	2378359510	555876394963	0.828906	35.332821
0.007096	2378657389	558793312008	0.815470	35.489857
0.006693	2375872834	561667268181	0.826691	35.353600
0.007038	2376599735	564570778322	0.818526	35.392689
0.006778	2376417516	567197976701	0.904544	32.604343
0.006599	2378571478	570079556303	0.825440	35.115082
0.006678	2376074896	572954951005	0.826347	35.334625
0.007052	2375993418	575808642054	0.832604	34.871201
0.006832	2375842332	578699838785	0.821751	35.237919
0.006594	2376260743	581519073681	0.842874	34.731194
0.007050	2376252513	584414616687	0.820659	35.333748
0.006863	2376073097	587276950803	0.830117	35.065388
0.006820	2375825565	590154480068	0.825648	35.269787
0.007053	2376832189	593074073599	0.814097	35.548302
0.006662	2376438726	595690683942	0.908213	32.441566
0.006765	2376152267	598589375145	0.819733	35.488174
0.006759	2375814909	601465163310	0.826144	35.262768
0.007064	2376063826	604331280067	0.829018	34.936436
