colocating with libquantum
gmm
2368744738	2485090264	0.953183	4.227947
0.004488	2368122635	338613674611	1.513874	18.526196
0.004067	2367728908	340337239306	1.373739	20.191156
0.004217	2367768342	342021838424	1.405538	19.934729
0.004491	2368706002	343738449030	1.379874	20.064516
0.004232	2367838350	345411168669	1.415562	19.856691
0.004610	2368050892	347013132431	1.478217	18.996784
0.004080	2367857541	348749911798	1.363361	20.355371
0.004284	2367700919	350429470042	1.409716	19.861132
0.004464	2370305760	352124748332	1.398181	19.837111
0.004284	2368091143	353786114136	1.425388	19.647425
0.004369	2368168721	355456309721	1.417899	19.674932
0.004392	2367748970	357182827131	1.371402	20.227436
0.004148	2367465127	358860004562	1.411577	19.889711
0.004738	2367652658	360580197430	1.376388	20.046160
0.004168	2369950795	362260510046	1.410423	19.905949
0.004530	2370593684	363805388616	1.534485	18.381359
0.004164	2369846783	365520906937	1.381417	20.058075
0.004216	2370070727	367195942072	1.414938	19.882162
0.004506	2369735006	368913423310	1.379773	20.056307
0.004382	2369660903	370593409407	1.410524	19.936417
0.004545	2370008686	372279695919	1.405460	19.746828
0.004361	2370271547	373963830328	1.407412	19.969086
0.004570	2369694701	375682787537	1.378565	20.078524
0.004238	2370684757	377354797486	1.417865	19.805445
0.004467	2369506852	379020763763	1.422302	19.651712
0.004444	2369997305	380668563470	1.438280	19.467779
0.004169	2369834036	382402722803	1.366561	20.307190
0.004234	2370474490	384071234047	1.420712	19.724901
0.004512	2370568690	385792317500	1.377370	20.171881
0.004317	2369432468	387491449202	1.394496	20.124529
0.004757	2369932901	389223773660	1.368065	20.336433
0.004389	2370110606	390903296089	1.411181	19.844372
0.004593	2367694190	392648135682	1.356969	20.520905
0.004437	2370538227	394329996170	1.409474	19.745838
0.004497	2369828167	396066522283	1.364695	20.522539
0.004487	2368198559	397754448958	1.403496	19.712057
0.003732	2369954851	399476268419	1.376425	20.352503
0.004436	2370371037	401140767088	1.424075	19.545731
0.004414	2370831311	402853023391	1.384624	20.153015
0.004263	2369136648	404538010189	1.406027	19.865499
0.004432	2367053435	406275870254	1.362051	20.311016
0.004396	2367470243	407966250821	1.400555	19.944851
0.004372	2367693018	409613105674	1.437706	19.433468
